model,benchmark,prompt_id,config_A,config_B,exact_match,first_divergence_pos,token_mismatch_rate,edit_distance,correctness_flip
gemma-2-2b,piqa,0,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,1,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,2,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,3,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,4,float32,float16,False,7,0.5,9,False
gemma-2-2b,piqa,5,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,6,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,7,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,8,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,9,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,10,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,11,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,12,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,13,float32,float16,False,9,0.5,9,False
gemma-2-2b,piqa,14,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,15,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,16,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,17,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,18,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,19,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,20,float32,float16,False,7,0.5,14,False
gemma-2-2b,piqa,21,float32,float16,False,6,0.5,14,False
gemma-2-2b,piqa,22,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,23,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,24,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,25,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,26,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,27,float32,float16,False,7,0.5,14,False
gemma-2-2b,piqa,28,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,29,float32,float16,False,8,0.5,7,False
gemma-2-2b,piqa,30,float32,float16,False,9,0.5,11,False
gemma-2-2b,piqa,31,float32,float16,False,8,0.5,9,False
gemma-2-2b,piqa,32,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,33,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,34,float32,float16,False,7,0.5,12,False
